"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
411.242223,"C19H40O7S1","CHOS",2.11,0.37,-0.3103,-1.2632,19,40,7,0,1,0,"aliphatic"
411.34802875,"C25H48O4","CHO",1.92,0.16,0,-1.6,25,48,4,0,0,0,"aliphatic"
412.097258538461,"C20H19O5N3S1","CHONS",0.95,0.25,0.4815,0.1,20,19,5,3,1,0,"unsaturated/lignin"
412.161322,"C19H27O9N1","CHON",1.42,0.47,0.1111,-0.3158,19,27,9,1,0,0,"unsaturated/lignin"
412.187798,"C22H27O5N3","CHON",1.23,0.23,0.3333,-0.3636,22,27,5,3,0,0,"unsaturated/lignin"
412.197746,"C20H31O8N1","CHON",1.55,0.4,0.0667,-0.6,20,31,8,1,0,0,"aliphatic"
412.917787916667,"C9H18O4S7","CHOS",2,0.44,-Inf,0.4444,9,18,4,0,7,0,"aliphatic"
412.981973,"C15H10O12S1","CHOS",0.67,0.8,0.5,1.0667,15,10,12,0,1,0,"unsaturated/lignin"
412.98676,"C12H16O10S1P2","CHOSP",1.33,0.83,-0.5,0.5,12,16,10,0,1,2,"unsaturated/lignin"
413.035598,"C29H6O2N2","CHON",0.21,0.07,0.9615,0.1379,29,6,2,2,0,0,"condensed aromatic"
413.0362145,"C16H14O13","CHO",0.88,0.81,0.3684,0.75,16,14,13,0,0,0,"unsaturated/lignin"
413.046671,"C17H19O8S1P1","CHOSP",1.12,0.47,0.2727,-0.0588,17,19,8,0,1,1,"unsaturated/lignin"
413.072529705882,"C17H18O12","CHO",1.06,0.71,0.2727,0.3529,17,18,12,0,0,0,"unsaturated/lignin"
413.087847,"C21H18O9","CHO",0.86,0.43,0.5152,0,21,18,9,0,0,0,"aromatic"
413.088613,"C22H22O4S2","CHOS",1,0.18,0.4444,-0.4545,22,22,4,0,2,0,"unsaturated/lignin"
413.093614634146,"C14H22O14","CHO",1.57,1,-0.4286,0.4286,14,22,14,0,0,0,"aliphatic"
413.108976594595,"C18H22O11","CHO",1.22,0.61,0.2,0,18,22,11,0,0,0,"unsaturated/lignin"
413.123523,"C14H26O10N2S1","CHONS",1.86,0.71,-0.8333,0.1429,14,26,10,2,1,0,"aliphatic"
413.12517325,"C23H26O3S2","CHOS",1.13,0.13,0.3846,-0.6957,23,26,3,0,2,0,"unsaturated/lignin"
413.130042666667,"C15H26O13","CHO",1.73,0.87,-0.4118,0,15,26,13,0,0,0,"aliphatic"
413.141329317073,"C14H26O12N2","CHON",1.86,0.86,-0.8333,0.2857,14,26,12,2,0,0,"aliphatic"
413.145337891892,"C19H26O10","CHO",1.37,0.53,0.1429,-0.3158,19,26,10,0,0,0,"unsaturated/lignin"
413.15578030303,"C20H31O5S1P1","CHOSP",1.55,0.25,0.0968,-0.95,20,31,5,0,1,1,"aliphatic"
